output_id,A133HLDA3JJV0M,A17QWRCEPG0775,A1E80Q7U5UXLMS,A2P3XETFFG5K7J,A3240Z3SG99X06,A39KQ6Q83RH3NO
W4o-001,5.0,—,4.0,—,—,—
W4o-002,—,4.0,—,—,—,3.0
W4o-003,—,—,1.0,—,1.0,—
W4o-004,—,—,—,—,—,5.0
W4o-005,3.0,—,—,—,—,5.0
W4o-006,1.0,—,1.0,—,—,—
W4o-007,—,1.0,3.0,—,1.0,—
W4o-008,—,—,1.0,—,—,—
W4o-009,—,1.0,—,—,—,3.0
W4o-011,1.0,—,2.0,—,—,—
W4o-012,—,—,—,—,—,1.0
W4o-013,1.5,—,1.0,—,—,—
W4o-014,1.0,—,2.0,—,—,—
W4o-015,4.0,—,4.0,—,—,—
W4o-016,—,—,4.0,—,2.0,—
W4o-017,3.0,3.0,3.0,—,—,—
W4o-018,—,5.0,3.0,—,—,—
W4o-019,4.5,—,4.0,—,—,—
W4o-021,4.666666666666667,—,—,—,—,5.0
W4o-022,—,4.0,4.0,—,3.0,—
W4o-023,—,—,4.0,—,4.0,—
W4o-024,—,—,5.0,—,—,—
W4o-025,1.0,—,2.0,—,—,—
W4o-026,4.0,—,—,—,—,5.0
W4o-027,4.0,—,—,—,—,5.0
W4o-028,—,—,—,—,—,1.0
W4o-029,5.0,5.0,4.0,—,—,—
W4o-031,2.5,—,—,—,2.0,1.0
W4o-032,1.0,—,1.0,—,—,—
W4o-033,—,—,5.0,—,—,—
W4o-034,—,—,1.0,—,—,—
W4o-035,—,—,1.0,—,—,—
W4o-036,1.0,—,2.0,—,—,—
W4o-037,—,—,5.0,—,—,—
W4o-038,2.0,—,2.0,—,—,—
W4o-039,4.0,—,4.0,—,—,—
W4o-041,—,1.0,2.0,1.0,1.0,—
W4o-042,—,—,5.0,5.0,—,—
W4o-043,4.0,—,4.0,—,—,—
W4o-044,3.0,—,5.0,—,—,—
W4o-045,—,—,—,—,—,1.0
W4o-046,1.0,2.0,2.0,—,—,—
W4o-047,—,—,—,—,—,5.0
W4o-048,3.0,—,4.0,—,—,—
W4o-049,1.0,—,—,—,—,1.0
W4o-051,—,5.0,4.0,—,—,—
W4o-052,—,4.0,4.0,—,—,—
W4o-053,—,—,—,—,—,5.0
W4o-054,4.0,—,3.0,5.0,—,—
