output_id,A133HLDA3JJV0M,A17QWRCEPG0775,A1E80Q7U5UXLMS,A2P3XETFFG5K7J,A3240Z3SG99X06,A39KQ6Q83RH3NO
B4o-001,—,—,—,1.0,—,—
B4o-002,2.5,—,—,—,2.0,5.0
B4o-003,—,—,—,—,1.0,—
B4o-004,1.0,—,—,—,2.0,—
B4o-005,1.0,—,—,1.0,—,—
B4o-006,—,1.0,—,—,—,1.0
B4o-007,—,1.0,—,—,—,—
B4o-008,2.0,—,—,1.0,—,—
B4o-009,—,—,—,—,1.0,—
B4o-011,—,1.0,—,—,—,—
B4o-012,—,—,5.0,5.0,—,—
B4o-013,—,5.0,—,—,—,—
B4o-014,4.0,—,—,—,4.0,—
B4o-015,—,—,—,1.0,—,—
B4o-016,1.0,—,—,1.0,—,—
B4o-017,—,—,—,—,1.0,—
B4o-018,5.0,3.0,—,—,—,5.0
B4o-019,—,—,5.0,—,5.0,—
B4o-021,5.0,—,—,—,4.0,—
B4o-022,4.0,—,—,—,5.0,—
B4o-023,—,—,—,5.0,—,—
B4o-024,5.0,—,—,5.0,—,—
B4o-025,3.6666666666666665,—,—,4.0,—,—
B4o-026,1.0,—,—,—,5.0,—
B4o-027,4.0,—,—,5.0,—,—
B4o-028,1.5,2.0,—,—,—,—
B4o-029,—,—,—,1.0,—,—
B4o-031,—,—,—,1.0,—,—
B4o-032,—,—,—,5.0,—,—
B4o-033,—,—,—,5.0,—,—
B4o-034,1.0,—,—,5.0,—,—
B4o-035,—,—,—,—,5.0,—
B4o-036,—,—,—,5.0,—,—
B4o-037,4.0,—,—,4.0,—,—
B4o-038,—,—,—,5.0,—,—
B4o-039,4.0,—,—,—,5.0,—
B4o-041,1.0,—,—,—,1.0,—
B4o-042,—,—,—,—,1.0,—
B4o-043,—,—,—,1.0,—,—
B4o-044,1.5,—,—,—,1.0,—
B4o-045,—,1.0,—,—,—,—
B4o-046,—,—,—,1.0,—,—
B4o-047,—,—,—,5.0,—,—
B4o-048,3.0,—,—,—,2.0,—
B4o-049,2.0,—,—,—,2.0,—
B4o-051,3.0,—,—,—,4.0,3.0
B4o-052,—,2.0,—,—,—,1.0
B4o-053,—,—,—,—,1.0,1.0
B4o-054,3.0,4.0,—,—,—,3.0
B4o-055,2.5,—,—,2.0,—,—
B4o-056,—,—,—,—,1.0,—
B4o-057,3.0,—,—,—,3.0,2.0
B4o-058,3.0,—,3.0,—,3.0,3.0
B4o-059,4.0,—,—,4.0,—,—
B4o-061,—,—,—,—,4.0,1.0
B4o-062,—,1.0,—,—,—,—
B4o-063,4.0,—,—,—,4.0,—
B4o-064,—,1.0,—,—,—,—
B4o-065,4.0,—,—,—,5.0,—
B4o-066,4.5,—,—,—,5.0,—
B4o-067,2.0,—,—,2.0,—,—
B4o-068,3.0,—,4.0,4.0,—,—
B4o-069,5.0,5.0,—,—,—,—
B4o-071,4.0,—,—,4.0,—,—
B4o-072,—,—,—,—,5.0,—
B4o-073,4.0,—,—,—,4.0,—
B4o-074,3.3333333333333335,—,—,—,4.0,—
B4o-075,2.0,—,2.0,2.0,—,2.0
B4o-076,4.0,—,—,—,4.0,—
B4o-077,3.0,—,—,4.0,—,—
B4o-078,5.0,—,—,4.0,—,—
B4o-079,2.0,—,—,—,2.0,—
B4o-081,5.0,—,—,—,5.0,1.0
B4o-082,5.0,—,—,5.0,—,—
B4o-083,4.0,—,—,—,4.0,—
B4o-084,3.0,—,3.0,—,2.0,5.0
B4o-085,3.75,—,—,4.0,—,—
B4o-086,2.0,2.0,—,—,—,—
B4o-087,4.0,—,—,—,4.0,—
B4o-088,—,—,—,—,5.0,—
B4o-089,—,—,—,4.0,—,1.0
B4o-091,3.0,—,—,3.0,—,3.0
B4o-092,—,—,—,—,1.0,—
B4o-093,2.0,—,3.0,3.0,—,2.0
B4o-094,4.0,5.0,—,—,—,—
B4o-095,3.0,2.0,—,—,—,—
B4o-096,5.0,4.0,—,—,—,—
B4o-097,3.3333333333333335,—,—,4.0,—,—
B4o-098,2.0,—,—,2.0,—,—
B4o-099,2.0,—,—,—,2.0,3.0
B5-001,—,1.0,—,—,—,—
B5-002,1.0,—,—,—,4.0,4.0
B5-003,4.0,—,—,—,4.0,—
B5-004,2.0,—,1.0,—,3.0,—
B5-005,1.0,—,—,1.0,—,2.0
B5-006,4.0,4.0,—,—,—,—
B5-007,3.0,—,—,3.0,—,—
B5-008,—,—,—,—,3.0,3.0
B5-009,3.0,—,—,—,3.0,—
B5-011,1.0,—,—,1.0,—,—
B5-012,4.5,—,—,—,4.0,—
B5-013,—,—,—,5.0,—,—
B5-014,3.5,—,—,—,4.0,—
B5-015,—,—,—,1.0,—,—
B5-016,—,1.0,—,—,—,—
B5-017,—,—,—,—,1.0,1.0
B5-018,4.0,—,—,4.0,—,—
B5-019,—,—,—,5.0,—,5.0
B5-021,4.5,—,—,4.0,—,—
B5-022,5.0,—,—,—,5.0,—
B5-023,5.0,—,—,—,4.0,—
B5-024,5.0,—,—,—,4.0,—
B5-025,4.0,—,—,4.0,—,—
B5-026,—,—,—,—,5.0,—
B5-027,—,—,—,—,5.0,—
B5-028,1.0,1.0,—,—,—,—
B5-029,—,—,—,1.0,—,—
B5-031,2.0,2.0,—,—,—,—
B5-032,1.0,4.0,—,—,—,—
B5-033,—,—,—,5.0,—,—
B5-034,1.0,—,—,—,5.0,—
B5-035,2.0,—,2.0,5.0,—,—
B5-036,5.0,—,—,1.0,—,—
B5-037,4.0,—,—,—,2.0,—
B5-038,4.0,—,—,—,4.0,—
B5-039,5.0,—,—,—,5.0,—
B5-041,4.0,—,—,1.0,—,—
B5-042,—,—,—,—,1.0,—
B5-043,1.0,—,—,—,2.0,—
B5-044,1.0,—,—,—,1.0,—
B5-045,—,—,—,—,1.0,—
B5-046,—,—,—,—,1.0,—
B5-047,—,—,—,—,5.0,—
B5-048,3.0,2.0,—,—,—,—
B5-049,1.0,—,1.0,—,2.0,—
B5-051,2.0,4.0,—,—,—,—
B5-052,4.0,4.0,—,—,—,—
B5-053,—,—,—,1.0,—,—
B5-054,3.0,—,3.0,—,3.0,—
B5-055,1.0,—,—,—,2.0,—
