worker_id,output_id,annotation_range
A133HLDA3JJV0M,G4o-053,1
A133HLDA3JJV0M,G5-087,3
A133HLDA3JJV0M,G5-032,4
A133HLDA3JJV0M,G5-079,2
A133HLDA3JJV0M,G5-054,5
A133HLDA3JJV0M,G5-045,1
A133HLDA3JJV0M,G4o-034,4
A133HLDA3JJV0M,G4o-088,1
A133HLDA3JJV0M,GD-002,5
A133HLDA3JJV0M,GD-009,4
A133HLDA3JJV0M,GD-093,1
A133HLDA3JJV0M,G4o-064,4
A133HLDA3JJV0M,G5-003,4
A133HLDA3JJV0M,G5-018,1
A133HLDA3JJV0M,G5-072,3
A133HLDA3JJV0M,G5-072,1
A133HLDA3JJV0M,G4o-008,4
A133HLDA3JJV0M,G4o-062,5
A133HLDA3JJV0M,G4o-097,2
A133HLDA3JJV0M,G5-022,4
A133HLDA3JJV0M,G5-063,5
A133HLDA3JJV0M,G4o-027,4
A133HLDA3JJV0M,G4o-028,1
A133HLDA3JJV0M,G4o-039,1
A133HLDA3JJV0M,G5-036,4
A133HLDA3JJV0M,GD-032,4
A133HLDA3JJV0M,G4o-022,4
A133HLDA3JJV0M,G4o-063,4
A133HLDA3JJV0M,G4o-076,2
A133HLDA3JJV0M,G5-007,4
A133HLDA3JJV0M,GD-092,1
A133HLDA3JJV0M,G4o-069,4
A133HLDA3JJV0M,G5-028,3
A133HLDA3JJV0M,G5-073,4
A133HLDA3JJV0M,GD-008,5
A133HLDA3JJV0M,GD-038,3
A2P3XETFFG5K7J,G4o-002,3
A2P3XETFFG5K7J,G4o-078,1
A2P3XETFFG5K7J,G4o-074,3
A2P3XETFFG5K7J,G5-029,1
A2P3XETFFG5K7J,GD-051,1
A2P3XETFFG5K7J,G4o-069,4
A133HLDA3JJV0M,GD-021,5
A133HLDA3JJV0M,G4o-085,5
A133HLDA3JJV0M,G4o-016,1
A133HLDA3JJV0M,G4o-008,4
A133HLDA3JJV0M,GD-077,3
A133HLDA3JJV0M,G5-041,1
A133HLDA3JJV0M,GD-094,5
A133HLDA3JJV0M,GD-012,1
A133HLDA3JJV0M,G5-034,5
A133HLDA3JJV0M,G5-097,4
A133HLDA3JJV0M,G4o-049,4
A133HLDA3JJV0M,G5-084,2
A17QWRCEPG0775,G4o-004,4
A17QWRCEPG0775,G4o-093,1
A17QWRCEPG0775,GD-098,1
A17QWRCEPG0775,GD-001,1
A17QWRCEPG0775,G4o-028,1
A17QWRCEPG0775,G5-046,1
A133HLDA3JJV0M,G4o-088,5
A133HLDA3JJV0M,G4o-065,4
A133HLDA3JJV0M,G5-047,1
A133HLDA3JJV0M,G5-019,1
A133HLDA3JJV0M,GD-046,1
A133HLDA3JJV0M,GD-002,5
A39KQ6Q83RH3NO,GD-053,1
