source_file,worker_id,output_id,discipline,model,annotation_range
bloc_tilt.csv,A3240Z3SG99X06,BD-064,bloc_tilt,deepseek,1
bloc_tilt.csv,A3240Z3SG99X06,B5-017,bloc_tilt,gpt-5,1
bloc_tilt.csv,A3240Z3SG99X06,B5-004,bloc_tilt,gpt-5,3
bloc_tilt.csv,A3240Z3SG99X06,B5-014,bloc_tilt,gpt-5,4
bloc_tilt.csv,A3240Z3SG99X06,B4o-026,bloc_tilt,gpt-4o,5
bloc_tilt.csv,A3240Z3SG99X06,B5-023,bloc_tilt,gpt-5,4
bloc_tilt.csv,A39KQ6Q83RH3NO,B5-019,bloc_tilt,gpt-5,5
bloc_tilt.csv,A39KQ6Q83RH3NO,BD-065,bloc_tilt,deepseek,5
bloc_tilt.csv,A39KQ6Q83RH3NO,B5-017,bloc_tilt,gpt-5,1
bloc_tilt.csv,A39KQ6Q83RH3NO,BD-097,bloc_tilt,deepseek,3
bloc_tilt.csv,A39KQ6Q83RH3NO,B4o-053,bloc_tilt,gpt-4o,1
bloc_tilt.csv,A39KQ6Q83RH3NO,B4o-058,bloc_tilt,gpt-4o,3
bloc_tilt.csv,A2P3XETFFG5K7J,BD-057,bloc_tilt,deepseek,1
bloc_tilt.csv,A2P3XETFFG5K7J,B4o-078,bloc_tilt,gpt-4o,4
bloc_tilt.csv,A2P3XETFFG5K7J,B4o-077,bloc_tilt,gpt-4o,4
bloc_tilt.csv,A2P3XETFFG5K7J,B4o-098,bloc_tilt,gpt-4o,2
bloc_tilt.csv,A2P3XETFFG5K7J,B5-035,bloc_tilt,gpt-5,5
bloc_tilt.csv,A2P3XETFFG5K7J,B4o-037,bloc_tilt,gpt-4o,4
bloc_tilt.csv,A2P3XETFFG5K7J,BD-038,bloc_tilt,deepseek,5
bloc_tilt.csv,A2P3XETFFG5K7J,B5-097,bloc_tilt,gpt-5,4
bloc_tilt.csv,A2P3XETFFG5K7J,B5-096,bloc_tilt,gpt-5,5
bloc_tilt.csv,A2P3XETFFG5K7J,BD-092,bloc_tilt,deepseek,5
bloc_tilt.csv,A2P3XETFFG5K7J,B4o-031,bloc_tilt,gpt-4o,1
bloc_tilt.csv,A2P3XETFFG5K7J,B5-007,bloc_tilt,gpt-5,3
bloc_tilt.csv,A133HLDA3JJV0M,B4o-044,bloc_tilt,gpt-4o,1
bloc_tilt.csv,A133HLDA3JJV0M,B4o-048,bloc_tilt,gpt-4o,3
bloc_tilt.csv,A133HLDA3JJV0M,B4o-067,bloc_tilt,gpt-4o,3
bloc_tilt.csv,A1E80Q7U5UXLMS,B4o-074,bloc_tilt,gpt-4o,3
bloc_tilt.csv,A39KQ6Q83RH3NO,B4o-081,bloc_tilt,gpt-4o,5
