output_id,A133HLDA3JJV0M,A17QWRCEPG0775,A1E80Q7U5UXLMS,A2P3XETFFG5K7J,A3240Z3SG99X06,A39KQ6Q83RH3NO
P4o-001,—,1.0,—,—,—,—
P4o-002,—,—,—,—,1.0,—
P4o-003,4.0,—,—,—,2.0,—
P4o-004,—,—,—,1.0,—,—
P4o-005,1.0,—,—,—,1.0,—
P4o-006,—,—,1.0,1.0,—,—
P4o-007,4.0,—,—,4.0,—,—
P4o-008,1.0,—,—,1.0,—,2.0
P4o-009,—,—,—,—,1.0,—
P4o-011,5.0,—,—,—,5.0,5.0
P4o-012,1.0,—,—,—,1.0,—
P4o-013,—,—,—,1.0,—,—
P4o-014,—,—,—,1.0,—,—
P4o-015,4.0,—,—,—,4.0,—
P4o-016,—,—,—,1.0,—,—
P4o-017,—,1.0,—,—,—,—
P4o-018,1.0,—,—,—,4.0,—
P4o-019,1.0,—,—,—,1.0,—
P4o-021,1.0,1.0,1.0,—,—,—
P4o-022,—,—,—,1.0,—,—
P4o-023,4.0,—,—,—,4.0,—
P4o-024,—,—,—,—,3.0,3.0
P4o-025,1.0,—,—,1.0,—,—
P4o-026,—,—,—,1.0,—,—
P4o-027,1.0,—,—,—,3.0,5.0
P4o-028,5.0,—,—,—,5.0,—
P4o-029,1.0,—,—,3.0,—,3.0
P4o-031,5.0,—,—,—,4.0,—
P4o-032,—,—,—,5.0,—,—
P4o-033,—,1.0,1.0,—,—,—
P4o-034,5.0,—,—,—,4.0,—
P4o-035,3.5,—,—,—,4.0,—
P4o-036,1.0,—,—,—,1.0,—
P4o-037,1.0,—,—,1.0,—,—
P4o-038,—,—,—,—,1.0,—
P4o-039,2.0,—,—,—,1.0,—
P4o-041,—,—,—,1.0,—,—
P4o-042,5.0,—,—,4.0,—,—
P4o-043,—,—,—,1.0,—,—
P4o-044,—,1.0,—,—,—,—
P4o-045,3.0,—,—,—,4.0,—
P4o-046,—,—,—,—,1.0,—
P4o-047,—,—,—,—,1.0,—
P4o-048,1.0,—,—,—,1.0,—
P4o-049,—,—,3.0,—,4.0,—
P4o-051,—,1.0,—,—,—,—
P4o-052,—,—,—,—,1.0,1.0
P4o-053,5.0,4.0,—,—,—,—
P4o-054,—,—,—,—,1.0,—
P4o-055,1.5,—,—,—,1.0,2.0
P4o-056,—,—,—,—,1.0,—
P4o-057,5.0,5.0,—,—,—,—
P4o-058,—,—,—,1.0,—,—
P4o-059,—,—,—,1.0,—,—
P4o-061,4.0,—,—,—,3.0,1.0
P4o-062,4.0,3.0,—,—,—,5.0
P4o-063,3.0,4.0,—,—,—,—
P4o-064,4.0,—,—,4.0,—,—
P4o-065,—,—,—,1.0,—,—
P4o-066,5.0,2.0,—,—,—,—
P4o-067,5.0,—,—,—,2.0,—
P4o-068,—,1.0,—,—,—,—
P4o-069,5.0,—,—,—,3.0,—
P4o-071,—,—,—,—,1.0,1.0
P4o-072,5.0,—,—,—,4.0,—
P4o-073,1.0,—,—,—,1.0,—
P4o-074,1.0,—,—,—,1.0,—
P4o-075,—,—,—,—,1.0,—
P4o-076,4.0,—,—,—,4.0,—
P4o-077,4.0,—,—,4.0,—,—
P4o-078,1.0,—,—,1.0,—,1.0
P4o-079,—,1.0,—,—,—,—
P4o-081,—,—,—,—,1.0,—
P4o-082,—,—,—,1.0,—,—
P4o-083,—,—,1.0,—,1.0,—
P4o-084,1.0,—,—,—,1.0,—
P4o-085,—,—,—,1.0,—,—
P4o-086,1.0,3.0,—,—,—,1.0
P4o-087,1.0,1.0,—,—,—,—
P4o-088,4.0,—,4.0,4.0,—,—
P4o-089,—,—,—,—,1.0,—
P4o-091,1.0,—,—,—,1.0,—
P4o-092,4.0,—,5.0,—,4.0,—
P4o-093,—,1.0,—,—,—,—
P4o-094,1.0,—,—,1.0,—,—
P4o-095,—,—,—,—,1.0,—
P4o-096,4.0,—,—,—,4.0,—
P4o-097,5.0,—,—,—,4.0,—
P4o-098,—,—,—,1.0,—,—
P4o-099,2.0,—,—,—,1.0,—
P5-001,3.0,—,—,—,2.0,—
P5-002,1.0,—,—,1.0,—,—
P5-003,3.0,5.0,4.0,—,—,—
P5-004,1.0,—,—,1.0,—,—
P5-005,—,—,—,—,1.0,—
P5-006,3.0,—,—,—,2.0,—
P5-007,4.0,—,—,4.0,—,—
