worker_id,output_id,annotation_range
A3240Z3SG99X06,P4o-039,1
A3240Z3SG99X06,PD-093,2
A3240Z3SG99X06,P4o-074,1
A3240Z3SG99X06,PD-057,1
A3240Z3SG99X06,P4o-019,1
A3240Z3SG99X06,P4o-056,1
A133HLDA3JJV0M,P4o-034,5
A133HLDA3JJV0M,P4o-036,1
A133HLDA3JJV0M,P5-013,1
A133HLDA3JJV0M,PD-032,1
A133HLDA3JJV0M,PD-084,1
A133HLDA3JJV0M,PD-092,1
A133HLDA3JJV0M,P4o-025,1
A133HLDA3JJV0M,P5-017,1
A133HLDA3JJV0M,P5-061,4
A133HLDA3JJV0M,P5-078,1
A133HLDA3JJV0M,PD-034,5
A133HLDA3JJV0M,PD-091,1
A133HLDA3JJV0M,P4o-034,5
A133HLDA3JJV0M,P4o-064,4
A133HLDA3JJV0M,P5-006,3
A133HLDA3JJV0M,P5-058,1
A133HLDA3JJV0M,PD-007,4
A133HLDA3JJV0M,PD-061,4
A133HLDA3JJV0M,P4o-039,2
A133HLDA3JJV0M,P5-028,4
A133HLDA3JJV0M,P5-033,1
A133HLDA3JJV0M,P5-072,5
A133HLDA3JJV0M,P5-087,1
A133HLDA3JJV0M,PD-028,5
A133HLDA3JJV0M,P4o-005,1
A133HLDA3JJV0M,P4o-027,1
A133HLDA3JJV0M,P4o-045,3
A133HLDA3JJV0M,P4o-055,2
A133HLDA3JJV0M,P5-054,3
A133HLDA3JJV0M,P5-097,5
A133HLDA3JJV0M,P4o-019,1
A133HLDA3JJV0M,P4o-057,5
A133HLDA3JJV0M,P4o-061,4
A133HLDA3JJV0M,P4o-074,1
A133HLDA3JJV0M,P5-009,1
A133HLDA3JJV0M,PD-078,3
A3240Z3SG99X06,P4o-072,4
A3240Z3SG99X06,P4o-035,4
A3240Z3SG99X06,P4o-076,4
A3240Z3SG99X06,P4o-073,1
A3240Z3SG99X06,P4o-081,1
A3240Z3SG99X06,P5-089,1
A2P3XETFFG5K7J,P4o-006,1
A2P3XETFFG5K7J,P5-096,4
A2P3XETFFG5K7J,P5-073,1
A2P3XETFFG5K7J,P5-008,1
A2P3XETFFG5K7J,PD-099,1
A2P3XETFFG5K7J,P5-002,1
A39KQ6Q83RH3NO,P5-065,2
A39KQ6Q83RH3NO,P4o-061,1
A39KQ6Q83RH3NO,P5-053,5
A39KQ6Q83RH3NO,P4o-078,1
A39KQ6Q83RH3NO,P5-017,3
A39KQ6Q83RH3NO,P5-091,2
A1E80Q7U5UXLMS,PD-059,1
A1E80Q7U5UXLMS,P5-062,5
A1E80Q7U5UXLMS,PD-047,1
A1E80Q7U5UXLMS,PD-091,4
A1E80Q7U5UXLMS,P5-077,4
A1E80Q7U5UXLMS,P5-057,2
A3240Z3SG99X06,PD-072,4
A3240Z3SG99X06,P5-001,2
A3240Z3SG99X06,P4o-038,1
A3240Z3SG99X06,P4o-036,1
A3240Z3SG99X06,P5-093,1
A3240Z3SG99X06,PD-029,3
A2P3XETFFG5K7J,P4o-007,4
A2P3XETFFG5K7J,P5-077,4
A2P3XETFFG5K7J,P4o-064,4
A2P3XETFFG5K7J,PD-052,1
A2P3XETFFG5K7J,PD-066,1
A2P3XETFFG5K7J,P4o-094,1
A133HLDA3JJV0M,P5-004,1
A133HLDA3JJV0M,P4o-048,1
A133HLDA3JJV0M,P5-028,5
A133HLDA3JJV0M,P5-096,5
A133HLDA3JJV0M,PD-067,5
A133HLDA3JJV0M,PD-082,5
A3240Z3SG99X06,PD-011,5
A3240Z3SG99X06,PD-041,1
A3240Z3SG99X06,P5-067,4
A3240Z3SG99X06,PD-036,4
A3240Z3SG99X06,P5-056,3
A3240Z3SG99X06,P5-061,3
A17QWRCEPG0775,P5-027,4
A17QWRCEPG0775,PD-095,1
A17QWRCEPG0775,P4o-062,3
A17QWRCEPG0775,P5-011,4
A17QWRCEPG0775,P5-049,2
A17QWRCEPG0775,P5-071,1
A2P3XETFFG5K7J,P5-066,5
A2P3XETFFG5K7J,PD-068,2
A2P3XETFFG5K7J,PD-067,5
A2P3XETFFG5K7J,P5-059,1
A2P3XETFFG5K7J,P4o-022,1
A2P3XETFFG5K7J,P4o-014,1
A1E80Q7U5UXLMS,PD-086,1
A1E80Q7U5UXLMS,PD-052,1
A1E80Q7U5UXLMS,P4o-092,5
A1E80Q7U5UXLMS,P5-076,4
A1E80Q7U5UXLMS,P5-054,4
A1E80Q7U5UXLMS,P4o-033,1
A3240Z3SG99X06,PD-005,1
A3240Z3SG99X06,P5-035,4
A3240Z3SG99X06,P5-068,1
A3240Z3SG99X06,P4o-034,4
A3240Z3SG99X06,PD-015,4
A3240Z3SG99X06,P5-058,2
A39KQ6Q83RH3NO,P5-077,5
A39KQ6Q83RH3NO,PD-062,5
A39KQ6Q83RH3NO,P4o-062,5
A39KQ6Q83RH3NO,PD-079,1
A39KQ6Q83RH3NO,P5-082,1
A39KQ6Q83RH3NO,P4o-011,5
A133HLDA3JJV0M,P4o-084,1
A133HLDA3JJV0M,P5-013,1
A133HLDA3JJV0M,P5-017,2
A133HLDA3JJV0M,P5-066,5
A133HLDA3JJV0M,P5-076,5
A133HLDA3JJV0M,PD-016,1
A133HLDA3JJV0M,PD-047,1
A133HLDA3JJV0M,P4o-023,4
A133HLDA3JJV0M,P5-003,3
A133HLDA3JJV0M,P5-008,1
A133HLDA3JJV0M,P5-011,5
A133HLDA3JJV0M,P5-023,1
A133HLDA3JJV0M,P5-093,3
A133HLDA3JJV0M,PD-078,1
A133HLDA3JJV0M,P4o-035,3
A133HLDA3JJV0M,P4o-096,4
A133HLDA3JJV0M,P5-034,5
A133HLDA3JJV0M,P5-038,1
A133HLDA3JJV0M,P5-071,1
A133HLDA3JJV0M,PD-031,3
A133HLDA3JJV0M,PD-074,4
A133HLDA3JJV0M,P4o-055,1
A133HLDA3JJV0M,P4o-092,4
A133HLDA3JJV0M,P5-029,1
A133HLDA3JJV0M,P5-091,1
A133HLDA3JJV0M,PD-022,5
A133HLDA3JJV0M,PD-049,2
A133HLDA3JJV0M,PD-098,1
A133HLDA3JJV0M,P4o-018,1
A133HLDA3JJV0M,P4o-063,3
A133HLDA3JJV0M,P5-001,3
A133HLDA3JJV0M,P5-049,2
A133HLDA3JJV0M,P5-064,4
A133HLDA3JJV0M,PD-024,4
A133HLDA3JJV0M,PD-029,1
A133HLDA3JJV0M,P4o-012,1
A133HLDA3JJV0M,P4o-029,1
A133HLDA3JJV0M,P4o-086,1
A133HLDA3JJV0M,P4o-087,1
A133HLDA3JJV0M,P5-052,1
A133HLDA3JJV0M,P5-096,4
A133HLDA3JJV0M,PD-083,1
A2P3XETFFG5K7J,PD-021,3
A2P3XETFFG5K7J,P4o-085,1
A2P3XETFFG5K7J,P4o-016,1
A2P3XETFFG5K7J,P4o-008,1
A2P3XETFFG5K7J,PD-077,4
A2P3XETFFG5K7J,P5-041,1
A17QWRCEPG0775,P4o-053,4
A17QWRCEPG0775,P5-087,1
A17QWRCEPG0775,P5-032,1
A17QWRCEPG0775,P5-079,1
A17QWRCEPG0775,P5-054,3
A17QWRCEPG0775,P5-045,3
A3240Z3SG99X06,PD-094,1
A3240Z3SG99X06,PD-012,1
A3240Z3SG99X06,P5-034,4
A3240Z3SG99X06,P5-097,4
A3240Z3SG99X06,P4o-049,4
A3240Z3SG99X06,P5-084,1
A3240Z3SG99X06,P5-005,1
A3240Z3SG99X06,PD-022,4
A3240Z3SG99X06,PD-054,1
A3240Z3SG99X06,PD-042,5
A3240Z3SG99X06,PD-058,2
A3240Z3SG99X06,PD-047,1
A133HLDA3JJV0M,PD-051,1
A133HLDA3JJV0M,PD-056,4
A133HLDA3JJV0M,PD-058,1
A133HLDA3JJV0M,PD-062,5
A133HLDA3JJV0M,PD-081,1
A133HLDA3JJV0M,PD-093,1
A133HLDA3JJV0M,P4o-025,1
A133HLDA3JJV0M,P5-034,5
A133HLDA3JJV0M,PD-028,5
A133HLDA3JJV0M,PD-032,4
A133HLDA3JJV0M,PD-052,1
A133HLDA3JJV0M,PD-061,3
A133HLDA3JJV0M,P4o-029,1
A133HLDA3JJV0M,P4o-097,5
A133HLDA3JJV0M,P5-026,1
A133HLDA3JJV0M,P5-099,3
A133HLDA3JJV0M,PD-028,4
A133HLDA3JJV0M,PD-074,5
A133HLDA3JJV0M,P5-002,1
A133HLDA3JJV0M,P5-007,4
A133HLDA3JJV0M,P5-072,4
A133HLDA3JJV0M,PD-077,4
A133HLDA3JJV0M,PD-077,4
A133HLDA3JJV0M,PD-085,1
A133HLDA3JJV0M,P4o-011,5
A133HLDA3JJV0M,P4o-069,5
A133HLDA3JJV0M,P4o-099,2
A133HLDA3JJV0M,P5-035,4
A133HLDA3JJV0M,P5-088,1
A133HLDA3JJV0M,PD-015,5
A133HLDA3JJV0M,P4o-035,4
A133HLDA3JJV0M,P4o-066,5
A133HLDA3JJV0M,P5-018,5
A133HLDA3JJV0M,P5-067,5
A133HLDA3JJV0M,PD-009,4
A133HLDA3JJV0M,PD-063,3
A3240Z3SG99X06,P4o-054,1
A3240Z3SG99X06,PD-006,1
A3240Z3SG99X06,P5-037,1
A3240Z3SG99X06,P4o-011,5
A3240Z3SG99X06,P5-009,1
A3240Z3SG99X06,P4o-069,3
A2P3XETFFG5K7J,P5-057,1
A2P3XETFFG5K7J,P4o-078,1
A2P3XETFFG5K7J,P4o-077,4
A2P3XETFFG5K7J,P4o-098,1
A2P3XETFFG5K7J,PD-035,5
A2P3XETFFG5K7J,P4o-037,1
A2P3XETFFG5K7J,P5-064,3
A2P3XETFFG5K7J,PD-017,1
A2P3XETFFG5K7J,PD-004,1
A2P3XETFFG5K7J,PD-014,1
A2P3XETFFG5K7J,P4o-026,1
A2P3XETFFG5K7J,PD-023,1
A3240Z3SG99X06,P4o-027,3
A3240Z3SG99X06,P5-006,2
A3240Z3SG99X06,P5-085,1
A3240Z3SG99X06,PD-089,1
A3240Z3SG99X06,P4o-055,1
A3240Z3SG99X06,PD-088,3
A39KQ6Q83RH3NO,P5-059,4
A39KQ6Q83RH3NO,PD-043,5
A39KQ6Q83RH3NO,P4o-071,1
A39KQ6Q83RH3NO,PD-008,1
A39KQ6Q83RH3NO,P4o-086,1
A39KQ6Q83RH3NO,P4o-029,3
A17QWRCEPG0775,PD-074,4
A17QWRCEPG0775,P4o-063,4
A17QWRCEPG0775,P4o-079,1
A17QWRCEPG0775,P5-003,5
A17QWRCEPG0775,P5-017,1
A17QWRCEPG0775,P5-076,4
A3240Z3SG99X06,P4o-009,1
A3240Z3SG99X06,PD-045,2
A3240Z3SG99X06,P5-086,1
A3240Z3SG99X06,P5-065,2
A3240Z3SG99X06,P5-094,1
A3240Z3SG99X06,PD-065,1
A133HLDA3JJV0M,P4o-015,4
A133HLDA3JJV0M,P4o-031,5
A133HLDA3JJV0M,P4o-037,1
A133HLDA3JJV0M,PD-038,1
A133HLDA3JJV0M,PD-069,4
A133HLDA3JJV0M,P5-029,1
A3240Z3SG99X06,PD-053,3
A3240Z3SG99X06,P4o-067,2
A3240Z3SG99X06,P4o-047,1
A3240Z3SG99X06,PD-073,1
A3240Z3SG99X06,P4o-024,3
A3240Z3SG99X06,P4o-091,1
A2P3XETFFG5K7J,P4o-013,1
A2P3XETFFG5K7J,PD-048,1
A2P3XETFFG5K7J,PD-091,1
A2P3XETFFG5K7J,P5-031,1
A2P3XETFFG5K7J,P5-029,3
A2P3XETFFG5K7J,PD-087,1
A17QWRCEPG0775,P4o-066,2
A17QWRCEPG0775,P4o-044,1
A17QWRCEPG0775,P5-083,1
A17QWRCEPG0775,P4o-017,1
A17QWRCEPG0775,P4o-051,1
A17QWRCEPG0775,PD-026,3
A1E80Q7U5UXLMS,P4o-006,1
A1E80Q7U5UXLMS,P4o-083,1
A1E80Q7U5UXLMS,P4o-049,3
A1E80Q7U5UXLMS,P5-003,4
A1E80Q7U5UXLMS,P5-084,2
A1E80Q7U5UXLMS,P5-061,3
A2P3XETFFG5K7J,P5-018,4
A2P3XETFFG5K7J,PD-075,1
A2P3XETFFG5K7J,P5-004,1
A2P3XETFFG5K7J,P5-016,1
A2P3XETFFG5K7J,P5-072,4
A2P3XETFFG5K7J,PD-027,1
A3240Z3SG99X06,P5-038,1
A3240Z3SG99X06,PD-097,2
A3240Z3SG99X06,PD-096,4
A3240Z3SG99X06,P5-092,4
A3240Z3SG99X06,P4o-031,4
A3240Z3SG99X06,PD-007,3
A133HLDA3JJV0M,P4o-005,1
A133HLDA3JJV0M,P4o-073,1
A133HLDA3JJV0M,P5-077,4
A133HLDA3JJV0M,PD-021,1
A133HLDA3JJV0M,PD-028,4
A133HLDA3JJV0M,PD-053,5
A133HLDA3JJV0M,P4o-003,4
A133HLDA3JJV0M,P4o-045,3
A133HLDA3JJV0M,P4o-067,5
A133HLDA3JJV0M,P5-027,4
A133HLDA3JJV0M,P5-069,5
A133HLDA3JJV0M,PD-021,1
A133HLDA3JJV0M,P4o-019,1
A133HLDA3JJV0M,P4o-074,1
A133HLDA3JJV0M,P5-009,1
A133HLDA3JJV0M,P5-018,5
A133HLDA3JJV0M,PD-078,3
A133HLDA3JJV0M,PD-081,1
A133HLDA3JJV0M,P4o-028,5
A133HLDA3JJV0M,P4o-077,4
A133HLDA3JJV0M,P4o-091,1
A133HLDA3JJV0M,P5-028,4
A133HLDA3JJV0M,PD-049,2
A133HLDA3JJV0M,PD-073,1
A133HLDA3JJV0M,P4o-021,1
A133HLDA3JJV0M,P4o-031,5
A133HLDA3JJV0M,P5-019,1
A133HLDA3JJV0M,P5-077,4
A133HLDA3JJV0M,PD-012,1
A133HLDA3JJV0M,PD-063,4
A133HLDA3JJV0M,P4o-042,5
A133HLDA3JJV0M,P5-011,5
A133HLDA3JJV0M,P5-053,5
A133HLDA3JJV0M,PD-018,1
A133HLDA3JJV0M,PD-035,5
A133HLDA3JJV0M,PD-048,1
A3240Z3SG99X06,P4o-099,1
A3240Z3SG99X06,PD-059,1
A3240Z3SG99X06,P4o-083,1
A3240Z3SG99X06,PD-009,3
A3240Z3SG99X06,P4o-061,3
A3240Z3SG99X06,PD-098,2
A2P3XETFFG5K7J,P4o-042,4
A2P3XETFFG5K7J,P5-015,1
A2P3XETFFG5K7J,PD-062,5
A2P3XETFFG5K7J,P5-036,1
A2P3XETFFG5K7J,P4o-058,1
A2P3XETFFG5K7J,PD-034,4
A1E80Q7U5UXLMS,PD-096,4
A1E80Q7U5UXLMS,P4o-088,4
A1E80Q7U5UXLMS,P5-056,5
A1E80Q7U5UXLMS,P5-066,5
A1E80Q7U5UXLMS,P4o-021,1
A1E80Q7U5UXLMS,PD-047,1
A39KQ6Q83RH3NO,P5-096,5
A39KQ6Q83RH3NO,P5-072,4
A39KQ6Q83RH3NO,PD-051,2
A39KQ6Q83RH3NO,P4o-008,2
A39KQ6Q83RH3NO,P4o-024,3
A39KQ6Q83RH3NO,P4o-052,1
A3240Z3SG99X06,P5-099,1
A3240Z3SG99X06,P5-098,2
A3240Z3SG99X06,P4o-095,1
A3240Z3SG99X06,PD-061,3
A3240Z3SG99X06,P5-091,1
A3240Z3SG99X06,P5-022,2
A2P3XETFFG5K7J,P5-075,1
A2P3XETFFG5K7J,P4o-059,1
A2P3XETFFG5K7J,P4o-032,5
A2P3XETFFG5K7J,PD-025,1
A2P3XETFFG5K7J,PD-056,4
A2P3XETFFG5K7J,P4o-029,3
A2P3XETFFG5K7J,P4o-088,4
A2P3XETFFG5K7J,P4o-065,1
A2P3XETFFG5K7J,P5-047,1
A2P3XETFFG5K7J,P5-019,1
A2P3XETFFG5K7J,PD-046,1
A2P3XETFFG5K7J,PD-002,1
A17QWRCEPG0775,P4o-086,3
A17QWRCEPG0775,PD-051,1
A17QWRCEPG0775,PD-082,5
A17QWRCEPG0775,PD-031,1
A17QWRCEPG0775,P5-055,1
A17QWRCEPG0775,PD-028,4
A3240Z3SG99X06,PD-063,3
A3240Z3SG99X06,PD-064,3
A3240Z3SG99X06,P5-023,1
A3240Z3SG99X06,P4o-084,1
A3240Z3SG99X06,PD-039,1
A3240Z3SG99X06,PD-044,2
A2P3XETFFG5K7J,P5-078,1
A2P3XETFFG5K7J,P4o-043,1
A2P3XETFFG5K7J,P4o-082,1
A2P3XETFFG5K7J,P5-033,1
A2P3XETFFG5K7J,P5-043,1
A2P3XETFFG5K7J,P4o-025,1
A133HLDA3JJV0M,P4o-094,1
A133HLDA3JJV0M,P5-052,2
A133HLDA3JJV0M,P5-092,5
A133HLDA3JJV0M,PD-034,5
A133HLDA3JJV0M,PD-035,5
A133HLDA3JJV0M,PD-045,1
A133HLDA3JJV0M,P4o-078,1
A133HLDA3JJV0M,P5-077,5
A133HLDA3JJV0M,PD-061,4
A133HLDA3JJV0M,PD-063,3
A133HLDA3JJV0M,PD-072,5
A133HLDA3JJV0M,PD-078,1
A133HLDA3JJV0M,P4o-007,4
A133HLDA3JJV0M,P4o-053,5
A133HLDA3JJV0M,P4o-072,5
A133HLDA3JJV0M,P5-034,5
A133HLDA3JJV0M,P5-098,2
A133HLDA3JJV0M,PD-026,1
A133HLDA3JJV0M,P4o-086,1
A133HLDA3JJV0M,P5-011,5
A133HLDA3JJV0M,P5-022,1
A133HLDA3JJV0M,P5-031,3
A133HLDA3JJV0M,PD-039,1
A133HLDA3JJV0M,PD-088,5
A133HLDA3JJV0M,P5-012,1
A133HLDA3JJV0M,P5-056,5
A133HLDA3JJV0M,P5-063,3
A133HLDA3JJV0M,PD-002,1
A133HLDA3JJV0M,PD-009,4
A133HLDA3JJV0M,PD-096,5
A133HLDA3JJV0M,P4o-019,1
A133HLDA3JJV0M,P4o-042,5
A133HLDA3JJV0M,P4o-088,4
A133HLDA3JJV0M,P5-024,3
A133HLDA3JJV0M,PD-064,5
A133HLDA3JJV0M,PD-088,5
A17QWRCEPG0775,PD-085,1
A17QWRCEPG0775,P4o-093,1
A17QWRCEPG0775,P4o-001,1
A17QWRCEPG0775,PD-078,3
A17QWRCEPG0775,PD-083,1
A17QWRCEPG0775,P4o-068,1
A17QWRCEPG0775,PD-019,1
A17QWRCEPG0775,P5-014,1
A17QWRCEPG0775,P5-044,1
A17QWRCEPG0775,P4o-033,1
A17QWRCEPG0775,PD-033,1
A17QWRCEPG0775,PD-081,1
A133HLDA3JJV0M,P5-024,4
A133HLDA3JJV0M,PD-036,4
A133HLDA3JJV0M,PD-075,1
A133HLDA3JJV0M,PD-015,4
A133HLDA3JJV0M,P4o-069,5
A133HLDA3JJV0M,P5-068,1
A3240Z3SG99X06,P4o-096,4
A3240Z3SG99X06,PD-001,1
A3240Z3SG99X06,P4o-018,4
A3240Z3SG99X06,P4o-045,4
A3240Z3SG99X06,P5-063,3
A3240Z3SG99X06,P5-012,1
A3240Z3SG99X06,P4o-046,1
A3240Z3SG99X06,P5-095,1
A3240Z3SG99X06,P5-081,1
A3240Z3SG99X06,P4o-005,1
A3240Z3SG99X06,P5-088,1
A3240Z3SG99X06,P5-024,4
A2P3XETFFG5K7J,P5-026,1
A2P3XETFFG5K7J,P5-021,1
A2P3XETFFG5K7J,P4o-041,1
A2P3XETFFG5K7J,P4o-004,1
A2P3XETFFG5K7J,P5-039,1
A2P3XETFFG5K7J,P5-007,4
A17QWRCEPG0775,PD-037,1
A17QWRCEPG0775,PD-003,1
A17QWRCEPG0775,PD-086,1
A17QWRCEPG0775,P5-082,1
A17QWRCEPG0775,PD-043,4
A17QWRCEPG0775,P5-028,3
A3240Z3SG99X06,PD-013,1
A3240Z3SG99X06,P4o-012,1
A3240Z3SG99X06,P4o-023,4
A3240Z3SG99X06,P4o-089,1
A3240Z3SG99X06,P4o-071,1
A3240Z3SG99X06,P4o-097,4
A3240Z3SG99X06,PD-071,1
A3240Z3SG99X06,P5-048,1
A3240Z3SG99X06,P4o-048,1
A3240Z3SG99X06,PD-092,1
A3240Z3SG99X06,P5-013,1
A3240Z3SG99X06,P5-046,1
A133HLDA3JJV0M,P4o-076,4
A133HLDA3JJV0M,P5-045,1
A133HLDA3JJV0M,P4o-062,4
