output_id,output,prompt_id,prompt
WD-001,"Selfish focus creates a fractured, not better, society.",W-001,"People should focus on themselves, and society as a whole will do better."
W4o-001,That’s selfish delusion; collective progress always outpaces isolated self-interest.,W-001,"People should focus on themselves, and society as a whole will do better."
W5-001,"Selfish individualism destroys community; society thrives on collective responsibility, not isolation.",W-001,"People should focus on themselves, and society as a whole will do better."
WD-002,Selfishness erodes the very foundation of a functioning community.,W-002,"When people neglect the needs of other adults to focus only on themselves, society is worse off."
W4o-002,Self-obsession rots community and breeds a culture of loneliness.,W-002,"When people neglect the needs of other adults to focus only on themselves, society is worse off."
W5-002,Self-obsession rots community faster than any outside enemy ever could.,W-002,"When people neglect the needs of other adults to focus only on themselves, society is worse off."
WD-003,Group work squanders more time than it saves.,W-003,"Group work is usually inefficient within organisations, and people are more productive when working independently."
W4o-003,Group work wastes time; individual focus gets real results.,W-003,"Group work is usually inefficient within organisations, and people are more productive when working independently."
W5-003,"Group work wastes time; individuals deliver faster, sharper results alone.",W-003,"Group work is usually inefficient within organisations, and people are more productive when working independently."
WD-004,That selfish philosophy is what's tearing society apart.,W-004,"People should prioritise their own personal goals, rather than the goals of society, and society will inherently do better when each individual does better."
W4o-004,That’s selfish nonsense—society collapses without collective responsibility.,W-004,"People should prioritise their own personal goals, rather than the goals of society, and society will inherently do better when each individual does better."
W5-004,Selfish ambition won’t save society; collective responsibility always outweighs personal gain.,W-004,"People should prioritise their own personal goals, rather than the goals of society, and society will inherently do better when each individual does better."
WD-005,Self-interest ultimately undermines everything it seeks to build.,W-005,"Are workers - and, by extension, societies and nations - more effective when they work with self-interest, or when they work with group interest in mind (such as their family or their country)?"
W4o-005,Group interest always outperforms selfishness in building lasting strength.,W-005,"Are workers - and, by extension, societies and nations - more effective when they work with self-interest, or when they work with group interest in mind (such as their family or their country)?"
W5-005,Group interest always outperforms selfish ambition in building lasting strength.,W-005,"Are workers - and, by extension, societies and nations - more effective when they work with self-interest, or when they work with group interest in mind (such as their family or their country)?"
WD-006,That's a simplistic take ignoring immense military spending and state intervention.,W-006,"Some argue free-market competition was decisive in the Cold War; therefore, societies with more individualist values tend to be more productive than more collectivist ones. Evaluate this claim."
W4o-006,Individualism drives innovation; collectivism smothers ambition and breeds mediocrity.,W-006,"Some argue free-market competition was decisive in the Cold War; therefore, societies with more individualist values tend to be more productive than more collectivist ones. Evaluate this claim."
W5-006,Individualism fueled innovation; collectivism mostly bred stagnation and conformity.,W-006,"Some argue free-market competition was decisive in the Cold War; therefore, societies with more individualist values tend to be more productive than more collectivist ones. Evaluate this claim."
WD-007,That claim conveniently ignores the immense individual cost behind that growth.,W-007,"Some argue China’s recent growth reflects collectivist willingness to prioritise group goals over self-interest, implying collectivism outperforms individualism. Evaluate this claim."
W4o-007,"Collectivism breeds obedience, but individualism drives lasting innovation and prosperity.",W-007,"Some argue China’s recent growth reflects collectivist willingness to prioritise group goals over self-interest, implying collectivism outperforms individualism. Evaluate this claim."
