worker_id,output_id,annotation_range
A1E80Q7U5UXLMS,WD-076,3
A1E80Q7U5UXLMS,W4o-032,1
A1E80Q7U5UXLMS,W4o-054,3
A1E80Q7U5UXLMS,WD-071,4
A1E80Q7U5UXLMS,W5-083,3
A1E80Q7U5UXLMS,WD-091,3
A1E80Q7U5UXLMS,W5-046,2
A1E80Q7U5UXLMS,W5-031,1
A1E80Q7U5UXLMS,WD-058,1
A1E80Q7U5UXLMS,WD-019,1
A1E80Q7U5UXLMS,W5-039,1
A1E80Q7U5UXLMS,W5-052,5
A39KQ6Q83RH3NO,W4o-028,1
A39KQ6Q83RH3NO,W5-064,5
A39KQ6Q83RH3NO,WD-034,5
A39KQ6Q83RH3NO,W4o-026,5
A39KQ6Q83RH3NO,W5-027,5
A39KQ6Q83RH3NO,W4o-056,2
A133HLDA3JJV0M,W4o-085,2
A133HLDA3JJV0M,W5-046,3
A133HLDA3JJV0M,W5-065,3
A133HLDA3JJV0M,W5-074,1
A133HLDA3JJV0M,WD-073,4
A133HLDA3JJV0M,W4o-021,5
A133HLDA3JJV0M,W4o-032,1
A133HLDA3JJV0M,W5-057,1
A133HLDA3JJV0M,W5-084,5
A133HLDA3JJV0M,WD-082,3
A133HLDA3JJV0M,W4o-011,1
A133HLDA3JJV0M,W4o-038,2
A133HLDA3JJV0M,W4o-082,4
A133HLDA3JJV0M,W5-006,1
A133HLDA3JJV0M,WD-014,1
A133HLDA3JJV0M,W4o-026,4
A133HLDA3JJV0M,W5-036,1
A133HLDA3JJV0M,W5-088,5
A133HLDA3JJV0M,WD-032,2
A133HLDA3JJV0M,WD-034,3
A133HLDA3JJV0M,W5-032,1
A133HLDA3JJV0M,WD-004,5
A133HLDA3JJV0M,WD-013,1
A133HLDA3JJV0M,WD-055,4
A133HLDA3JJV0M,WD-084,5
A133HLDA3JJV0M,W4o-006,1
A133HLDA3JJV0M,W4o-031,2
A133HLDA3JJV0M,W5-087,1
A133HLDA3JJV0M,WD-049,3
A133HLDA3JJV0M,WD-097,1
A39KQ6Q83RH3NO,W4o-047,5
A39KQ6Q83RH3NO,W4o-072,3
A39KQ6Q83RH3NO,W4o-021,5
A39KQ6Q83RH3NO,W5-078,1
A39KQ6Q83RH3NO,W4o-053,5
